Type,NSfraction,DN,RF-F/F,RTJ F/F,BW-F/F,RF/RTJ KG,BW KG,Rating,NS,TypeDesc,TypeNum
VLV5,0+3/4,20,229,229,229,32,26,1500,0.75,Flanged Swing check Valve,
VLV5,1,25,254,254,254,41,33,1500,1,Flanged Swing check Valve,
VLV5,1+1/4,32,279,279,279,52,42,1500,1.5,Flanged Swing check Valve,
VLV5,1+1/2,40,305,305,305,65,52,1500,1.25,Flanged Swing check Valve,
VLV5,2,50,368,371,368,75,59,1500,2,Flanged Swing check Valve,
VLV5,2+1/2,65,419,422,419,101,79,1500,2.5,Flanged Swing check Valve,
VLV5,3,80,470,473,470,151,119,1500,3,Flanged Swing check Valve,
VLV5,4,100,546,549,546,247,198,1500,4,Flanged Swing check Valve,
VLV5,5,125,673,676,673,,0,1500,5,Flanged Swing check Valve,
VLV5,6,150,705,711,705,524,417,1500,6,Flanged Swing check Valve,
VLV5,8,200,832,842,832,1043,842,1500,8,Flanged Swing check Valve,
VLV5,10,250,991,1001,991,1571,1267,1500,10,Flanged Swing check Valve,
VLV5,12,300,1130,1146,1130,2109,1675,1500,12,Flanged Swing check Valve,
VLV5,14,350,1257,1276,1257,2620,2083,1500,14,Flanged Swing check Valve,
VLV5,16,400,1384,1406,1384,3448,2725,1500,16,Flanged Swing check Valve,
VLV5,18,450,1537,1559,1537,4238,3315,1500,18,Flanged Swing check Valve,
VLV5,20,500,1664,1686,1664,5009,3910,1500,20,Flanged Swing check Valve,
VLV5,22,550,,,,5947,,1500,22,Flanged Swing check Valve,
VLV5,24,600,1943,1971,1943,5947,4505,1500,24,Flanged Swing check Valve,
VLV5,0+1/2,15,264,264,264,32,26,2500,0.5,Flanged Swing check Valve,
VLV5,0+3/4,20,273,273,273,42,34,2500,0.75,Flanged Swing check Valve,
VLV5,1,25,308,308,308,63,51,2500,1,Flanged Swing check Valve,
VLV5,1+1/4,32,349,352,349,79,64,2500,1.5,Flanged Swing check Valve,
VLV5,1+1/2,40,384,387,384,95,77,2500,1.25,Flanged Swing check Valve,
VLV5,2,50,451,454,451,126,100,2500,2,Flanged Swing check Valve,
VLV5,2+1/2,65,508,514,508,229,185,2500,2.5,Flanged Swing check Valve,
VLV5,3,80,578,584,578,311,251,2500,3,Flanged Swing check Valve,
VLV5,4,100,673,683,673,587,476,2500,4,Flanged Swing check Valve,
VLV5,5,125,794,807,794,696,550,2500,5,Flanged Swing check Valve,
VLV5,6,150,914,927,914,836,655,2500,6,Flanged Swing check Valve,
VLV5,8,200,1022,1038,1022,1345,1054,2500,8,Flanged Swing check Valve,
VLV5,10,250,1270,1292,1270,2417,1889,2500,10,Flanged Swing check Valve,
VLV5,12,300,1422,1444,1422,3580,2814,2500,12,Flanged Swing check Valve,
VLV6,0+1/4,8,,,,,,150,0.25,Flanged wafer Valve,
VLV6,0+3/8,10,,,,,,150,0.375,Flanged wafer Valve,
VLV6,0+1/2,15,,,,,,150,0.5,Flanged wafer Valve,
VLV6,0+3/4,20,,,,,,150,0.75,Flanged wafer Valve,
VLV6,1,25,,,,,,150,1,Flanged wafer Valve,
VLV6,1+1/4,32,,,,,,150,1.5,Flanged wafer Valve,
VLV6,1+1/2,40,51,,,2,,150,1.25,Flanged wafer Valve,
Flg,16,400,185,0,0,211,0,600,16,Weldneck Flange,1
Flg,18,450,191,0,0,259,0,600,18,Weldneck Flange,1
Flg,20,500,197,0,0,321,0,600,20,Weldneck Flange,1
Flg,24,600,210,0,0,458,0,600,24,Weldneck Flange,1
Flg,8,200,220,0,0,152,0,1500,8,Weldneck Flange,1
Flg,10,250,261,0,0,248,0,1500,10,Weldneck Flange,1
Flg,12,300,290,0,0,384,0,1500,12,Weldneck Flange,1
Flg,14,350,305,0,0,512,0,1500,14,Weldneck Flange,1
Flg,16,400,318,0,0,690,0,1500,16,Weldneck Flange,1
Flg,18,450,334,0,0,907,0,1500,18,Weldneck Flange,1
Flg,20,500,363,0,0,1137,0,1500,20,Weldneck Flange,1
Flg,24,600,413,0,0,1835,0,1500,24,Weldneck Flange,1
Flg,0+1/2,15,80,0,0,4,0,2500,0.5,Weldneck Flange,1
Flg,1,25,80,0,0,6,0,1500,1,Weldneck Flange,1
Flg,1+1/4,32,80,0,0,7,0,1500,1.5,Weldneck Flange,1
Flg,1+1/2,40,90,0,0,8,0,1500,1.25,Weldneck Flange,1
Flg,2,50,109,0,0,14,0,1500,2,Weldneck Flange,1
Flg,2+1/2,65,112,0,0,20,0,1500,2.5,Weldneck Flange,1
Flg,3,80,124,0,0,28,0,1500,3,Weldneck Flange,1
Flg,4,100,131,0,0,41,0,1500,4,Weldneck Flange,1
Flg,5,125,163,0,0,73,0,1500,5,Weldneck Flange,1
Flg,6,150,178,0,0,92,0,1500,6,Weldneck Flange,1
Flg,8,200,220,0,0,152,0,1500,8,Weldneck Flange,1
Flg,10,250,261,0,0,248,0,1500,10,Weldneck Flange,1
Flg,12,300,290,0,0,384,0,1500,12,Weldneck Flange,1
Flg,14,350,305,0,0,512,0,1500,14,Weldneck Flange,1
Flg,16,400,318,0,0,690,0,1500,16,Weldneck Flange,1
Flg,18,450,334,0,0,907,0,1500,18,Weldneck Flange,1
Flg,20,500,363,0,0,1137,0,1500,20,Weldneck Flange,1
Flg,24,600,413,0,0,1835,0,1500,24,Weldneck Flange,1
Flg,0+3/4,20,86,0,0,5,0,2500,0.75,Weldneck Flange,1
Flg,1,25,96,0,0,8,0,2500,1,Weldneck Flange,1
Flg,1+1/4,32,102,0,0,10,0,2500,1.5,Weldneck Flange,1
Flg,1+1/2,40,118,0,0,15,0,2500,1.25,Weldneck Flange,1
Flg,2,50,134,0,0,24,0,2500,2,Weldneck Flange,1
Flg,2+1/2,65,150,0,0,30,0,2500,2.5,Weldneck Flange,1
Flg,3,80,175,0,0,51,0,2500,3,Weldneck Flange,1
Flg,4,100,197,0,0,80,0,2500,4,Weldneck Flange,1
Flg,5,125,236,0,0,129,0,2500,5,Weldneck Flange,1
Flg,6,150,280,0,0,206,0,2500,6,Weldneck Flange,1
Flg,8,200,325,0,0,317,0,2500,8,Weldneck Flange,1
Flg,10,250,426,0,0,588,0,2500,10,Weldneck Flange,1
Flg,12,300,471,0,0,830,0,2500,12,Weldneck Flange,1
Flg,0+1/2,15,67,0,0,3,0,1500,0.5,Weldneck Flange,1
Flg,0+3/4,20,77,0,0,4,0,1500,0.75,Weldneck Flange,1
Flg,1,25,80,0,0,6,0,1500,1,Weldneck Flange,1
Flg,1+1/4,32,80,0,0,7,0,1500,1.5,Weldneck Flange,1
Flg,1+1/2,40,90,0,0,8,0,1500,1.25,Weldneck Flange,1
Flg,2,50,109,0,0,14,0,1500,2,Weldneck Flange,1
Flg,2+1/2,65,112,0,0,20,0,1500,2.5,Weldneck Flange,1
Flg,3,80,124,0,0,28,0,1500,3,Weldneck Flange,1
Flg,4,100,131,0,0,41,0,1500,4,Weldneck Flange,1
Flg,5,125,163,0,0,73,0,1500,5,Weldneck Flange,1
Flg,6,150,178,0,0,92,0,1500,6,Weldneck Flange,1
FLA,26,650,119,0,0,167,0,150,26,Weldneck Flange Series A,1
FLA,28,700,124,0,0,213,0,150,28,Weldneck Flange Series A,1
FLA,30,750,135,0,0,228,0,150,30,Weldneck Flange Series A,1
FLA,32,800,143,0,0,303,0,150,32,Weldneck Flange Series A,1
FLA,34,850,148,0,0,331,0,150,34,Weldneck Flange Series A,1
FLA,36,900,156,0,0,425,0,150,36,Weldneck Flange Series A,1
FLA,38,950,156,0,0,438,0,150,38,Weldneck Flange Series A,1
FLA,40,1000,162,0,0,458,0,150,40,Weldneck Flange Series A,1
FLA,42,1050,170,0,0,522,0,150,42,Weldneck Flange Series A,1
FLA,44,1100,176,0,0,578,0,150,44,Weldneck Flange Series A,1
FLA,46,1150,184,0,0,605,0,150,46,Weldneck Flange Series A,1
FLA,48,1200,191,0,0,695,0,150,48,Weldneck Flange Series A,1
FLA,50,1250,202,0,0,702,0,150,50,Weldneck Flange Series A,1
FLA,52,1300,208,0,0,871,0,150,52,Weldneck Flange Series A,1
FLA,54,1350,214,0,0,852,0,150,54,Weldneck Flange Series A,1
FLA,56,1400,227,0,0,1045,0,150,56,Weldneck Flange Series A,1
FLA,58,1450,233,0,0,1018,0,150,58,Weldneck Flange Series A,1
FLA,60,1500,238,0,0,1211,0,150,60,Weldneck Flange Series A,1
FLA,26,650,183,0,0,344,0,300,26,Weldneck Flange Series A,1
FLA,28,700,195,0,0,403,0,300,28,Weldneck Flange Series A,1
FLA,30,750,208,0,0,483,0,300,30,Weldneck Flange Series A,1
FLA,32,800,221,0,0,560,0,300,32,Weldneck Flange Series A,1
FLA,34,850,230,0,0,618,0,300,34,Weldneck Flange Series A,1
FLA,36,900,240,0,0,741,0,300,36,Weldneck Flange Series A,1
FLA,38,950,179,0,0,395,0,300,38,Weldneck Flange Series A,1
FLA,40,1000,192,0,0,478,0,300,40,Weldneck Flange Series A,1
FLA,42,1050,198,0,0,524,0,300,42,Weldneck Flange Series A,1
FLA,44,1100,205,0,0,605,0,300,44,Weldneck Flange Series A,1
FLA,46,1150,214,0,0,684,0,300,46,Weldneck Flange Series A,1
FLA,48,1200,222,0,0,740,0,300,48,Weldneck Flange Series A,1
FLA,50,1250,230,0,0,842,0,300,50,Weldneck Flange Series A,1
FLA,52,1300,237,0,0,924,0,300,52,Weldneck Flange Series A,1
